ID,Thông điệp,Ý nghĩa,Cơ chế game
1,"Năm thái độ của Thượng đế tính là: Vui vẻ, Yêu thương, Chấp nhận, Ban phước và Biết ơn. Hãy áp dụng chúng vào đời sống.",Năm chìa khóa vàng để chuyển hóa năng lượng của con lên tần số thần thánh.,Cơ chế 'Năm Chìa Khóa Vàng': Hệ thống thuộc tính cốt lõi của nhân vật; tăng đều cả 5 chỉ số này để mở khóa sức mạnh tối thượng của Thượng đế.
2,Đừng cố gắng bám chặt lấy một người hay một vật vì sợ mất mát. Tình yêu đích thực luôn đi kèm với sự buông lỏng tự do.,Sự bám chấp quá mức sinh ra từ nỗi sợ hãi thiếu thốn.,Cơ chế 'Nội Tại Buông Bỏ': Người chơi tự động nhận được các thuộc tính hiếm khi họ tự nguyện tặng hoặc cho đi các trang bị quý giá cho NPC nghèo.
3,Cái chết chỉ là một sự đổi kênh tần số năng lượng từ thô đặc (vật lý) sang tinh thuần và siêu hình.,Không có sự biến mất hoàn toàn của sự sống.,Cơ chế 'Chuyển Kênh Tần Số': Nhân vật có thể hóa thân thành dạng linh hồn siêu hình để đi xuyên qua các bức tường vật lý trong game.
4,Sợ hãi là thứ năng lượng hút về những gì con lo sợ nhất. Hãy buông bỏ sợ hãi để nhường chỗ cho niềm tin tỏa sáng.,Những gì con lo sợ và liên tục né tránh thực chất đang nhận được năng lượng từ con và sẽ hiển lộ trong thực tại của con để con đối diện.,Cơ chế 'Nỗi Sợ Hóa Thân': Quái vật trong game sẽ tăng sức mạnh dựa trên chỉ số 'Sợ hãi' của người chơi.
5,Tình yêu không phải là sự hy sinh hay đòi hỏi trao đổi. Tình yêu đích thực là sự tự do hoàn toàn cho cả hai phía.,"Sự ràng buộc, kiểm soát nhân danh tình yêu thực chất là nỗi sợ hãi mất mát.",Cơ chế 'Đồng Hành Tự Do': Các bạn đồng hành (companions) trong game sẽ trung thành và mạnh mẽ hơn khi người chơi cho phép họ tự do đưa ra quyết định.
6,"Thượng đế là một Quá Trình liên tục sáng tạo, và chính con cũng là một phần không thể tách rời của Quá trình thần thánh đó.",Vũ trụ không phải là một sản phẩm tĩnh đã hoàn thành.,"Cơ chế 'Đồng Sáng Tạo Thế Giới': Người chơi có quyền thay đổi các quy luật vật lý của thế giới game (trọng lực, ánh sáng) để vượt qua các chướng ngại vật."
7,"Ba công cụ của sự sáng tạo là: Suy nghĩ, Lời nói và Hành động. Hãy sử dụng chúng một cách có ý thức.","Mọi vật thể vật lý đều bắt đầu từ một Suy nghĩ, được củng cố bằng Lời nói và được biểu hiện ra thế giới thông qua Hành động thực tế.","Cơ chế 'Bộ Ba Sáng Tạo': Hệ thống chế tạo (crafting) trong game yêu cầu người chơi phải kết hợp đủ 3 yếu tố: Ý tưởng (Mind), Khẩu quyết (Word) và Nguyên liệu (Action)."
8,"Mục đích của cuộc sống này không phải là đi tới một cái đích nào cả, mà chỉ cần nhận thức rằng con vẫn luôn ở đó.",Tiến hóa không phải là cuộc đua giành giật thành tích.,Cơ chế 'An Yên Tự Tại': Người chơi mở khóa các kỹ năng ẩn khi nhân vật đứng yên tĩnh lặng tại một vị trí đẹp trên bản đồ trong 1 phút.
9,Ta không bao giờ nói 'Không' với những lựa chọn của con. Ta luôn nói 'Có' và trao quyền cho con trải nghiệm chúng.,Vũ trụ là một tấm gương phản chiếu trung thực.,"Cơ chế 'Gương Phản Chiếu': Thế giới game thay đổi thời tiết, địa hình và độ khó dựa trên các lựa chọn thoại tích cực hay tiêu cực của người chơi."
10,"Chúng ta chỉ là Một. Không hề có sự tách biệt nào giữa Ta và con, giữa con và mọi người xung quanh.",Mọi linh hồn đều phát khởi từ một nguồn năng lượng vĩ đại duy nhất của Thượng đế.,"Cơ chế 'Nhất thể' (Oneness Gauge): Khi nhân vật làm tổn thương NPC, thanh năng lượng tự dội ngược sát thương."
